Id,Sample,Prediction
0,очень тру,очень трудно
1,гусеница вступ,гусеница вступила
2,мне не,мне нельзя
3,спасении гр,спасении грешной
4,почуяла чужо,почуяла чужого
5,обучением сол,обучением солдат
6,него св,него свои
7,сверкало пятн,сверкало пятно
8,чтобы сно,чтобы снова
9,академик уве,академик увез
10,целый ча,целый час
11,того чтоб,того чтобы
12,крупные государствен,крупные государственные
13,мучительную ра,мучительную работу
14,первый ра,первый раз
15,что отруб,что отрубил
16,свыше чет,свыше четырех
17,реку дв,реку дважды
18,пропуская ми,пропуская мимо
19,минутой прите,минутой притекает
20,будут опис,будут описаны
21,крика испуга,крика испуганно
22,только нау,только научные
23,перед не,перед ней
24,сразу пот,сразу потеряв
25,гостей уго,гостей угощают
26,переставая будеш,переставая будешь
27,плешь ка,плешь казалась
28,темноте вязки,темноте вязкие
29,головой вб,головой вбок
30,вправе др,вправе дремать
31,осенью до,осенью должен
32,было жу,было жутко
33,ягод по,ягод получить
34,скомпоновал раздерганны,скомпоновал раздерганные
35,брачном союз,брачном союзе
36,совсем ус,совсем уступали
37,дымящейся др,дымящейся дрожи
38,желтыми космам,желтыми космами
39,лет ше,лет шестьдесят
40,нет выхо,нет выхода
41,кипятком выш,кипятком вышла
42,постучал мундшту,постучал мундштуком
43,дворе по,дворе полно
44,продолжал св,продолжал свои
45,было посвящен,было посвящено
46,улица слу,улица слушала
47,для мен,для меня
48,выскакивал кл,выскакивал клуб
49,перекладиной это,перекладиной этой
50,странствие бе,странствие без
51,новость прив,новость привез
52,вышло бе,вышло без
53,вдруг слип,вдруг слипшиеся
54,злобой ск,злобой сказал
55,под названи,под названием
56,однако замешательств,однако замешательство
57,центр на,центр наш
58,час пополуд,час пополудни
59,его карт,его картине
60,меньшей летне,меньшей летней
61,только сказ,только сказала
62,открыто мн,открыто мне
63,будет впо,будет впору
64,это ещ,это еще
65,которые он,которые она
66,она говори,она говорила
67,молодого челов,молодого человека
68,бог сил,бог силы
69,своими мрачны,своими мрачными
70,что он,что она
71,разгласил таинст,разгласил таинства
72,более тре,более трех
73,грозного дл,грозного для
74,наших жентмуно,наших жентмунов
75,вас наш,вас наши
76,кто бу,кто будит
77,пару лош,пару лошадушек
78,так дал,так далее
79,спрашиваете мен,спрашиваете меня
80,тем разда,тем раздался
81,окнах праздн,окнах праздничный
82,амулеты внимае,амулеты внимает
83,пускай тог,пускай тогда
84,могут посту,могут поступить
85,дворе по,дворе поп
86,лучших студенчески,лучших студенческих
87,кто буд,кто будет
88,боевого ду,боевого духа
89,час дл,час для
90,между мужчи,между мужчинами
91,своими незама,своими незамайковцами
92,том уведомле,том уведомление
93,были результато,были результатом
94,кровати даж,кровати даже
95,огонь подымал,огонь подымался
96,все стре,все стремясь
97,надрывающий ду,надрывающий душу
98,как невозможн,как невозможно
99,настоящий нов,настоящий новый
100,уже ра,уже раз
101,нервное во,нервное возбуждение
102,она мог,она могла
103,всегда зн,всегда значила
104,голоногие де,голоногие девки
105,что он,что она
106,будет ещ,будет еще
107,равно чт,равно что
108,вздыбившиеся кам,вздыбившиеся каменные
109,них ес,них есть
110,взаимной благ,взаимной благожелательности
111,что ту,что тут
112,обнаженное те,обнаженное тело
113,уничтожили все,уничтожили всех
114,после то,после того
115,наибольшая запо,наибольшая заповедь
116,верным сторонни,верным сторонником
117,управлял бол,управлял большим
118,это уйм,это уйма
119,был ви,был вид
120,слез ст,слез стало
121,беспрерывно пер,беспрерывно перебегало
122,полный год,полный годовой
123,был нео,был неограниченный
124,свои пр,свои предыдущие
125,представлял филадельфийс,представлял филадельфийских
126,высоким мат,высоким материям
127,пожелает стат,пожелает стать
128,захочет тащит,захочет тащить
129,будете работ,будете работать
130,заходила по,заходила под
131,меж эти,меж этими
132,прикидываться каза,прикидываться казанской
133,что хот,что хотелось
134,умела оста,умела остановить
135,сохранять добры,сохранять добрых
136,что он,что она
137,как амуници,как амуницию
138,своих больн,своих больных
139,может дел,может делать
140,что сказал,что сказало
141,углах сто,углах стояли
142,испорчен мо,испорчен моими
143,нему сол,нему солдата
144,чего нужн,чего нужно
145,надо всеме,надо всемерно
146,была ег,была его
147,около вх,около входа
148,сегодня вер,сегодня вернулся
149,взволнованно смо,взволнованно смотрела
150,заберут се,заберут себе
151,четырех но,четырех ногах
152,окружавшему пя,окружавшему пятиакровое
153,слезы бы,слезы были
154,собственными мо,собственными моими
155,небрежно поцеловат,небрежно поцеловать
156,проносились посе,проносились поселки
157,обрезанные гру,обрезанные груди
158,только чт,только что
159,пункт эт,пункт этой
160,провожали поез,провожали поездом
161,кровь моег,кровь моего
162,была уро,была урожденная
163,якобы та,якобы так
164,закупки то,закупки товаров
165,решить пробле,решить проблемы
166,придал эт,придал этому
167,огорчился ещ,огорчился еще
168,каждый ча,каждый час
169,был то,был тон
170,лет дв,лет двадцати
171,топорща жестк,топорща жесткие
172,кабинете пе,кабинете переломаны
173,них вс,них всего
174,только неср,только несравненно
175,битве воз,битве воздушных
176,бросила мн,бросила мне
177,некоторое врем,некоторое время
178,яблоко апо,яблоко апорт
179,трудно бы,трудно было
180,него прежд,него прежде
181,требуется некотор,требуется некоторое
182,есть оч,есть очень
183,брякнул вд,брякнул вдруг
184,лишен возмо,лишен возможности
185,отменной чис,отменной чистотою
186,ежели он,ежели она
187,был опек,был опекун
188,откуда доносил,откуда доносился
189,плоское ке,плоское кепи
190,тоже стра,тоже странная
191,приближалась мину,приближалась минута
192,выбежал та,выбежал таракан
193,вчера вече,вчера вечером
194,обладает удив,обладает удивительной
195,стал со,стал собирать
196,повторил артиллерийс,повторил артиллерийский
197,весть отку,весть откуда
198,напоминали стира,напоминали стиральную
199,возможности загля,возможности заглянуть
200,смотреть толь,смотреть только
201,девицам вмес,девицам вместе
202,две ра,две равных
203,всех эти,всех этих
204,нему об,нему обратился
205,общении учить,общении учиться
206,еще опирал,еще опиралась
207,позволившего се,позволившего себе
208,молодецки зачик,молодецки зачикилял
209,воинского ус,воинского устава
210,что был,что было
211,заметив фиг,заметив фигуру
212,этих предп,этих предположениях
213,ней таког,ней такого
214,крыльца вер,крыльца верховой
215,сваха громк,сваха громко
216,свою дурну,свою дурную
217,торговал пушечны,торговал пушечным
218,состав ко,состав которого
219,что вс,что все
220,все уж,все уже
221,что вн,что внезапное
222,сможет зарабатыв,сможет зарабатывать
223,недели по,недели после
224,расстройства карь,расстройства карьеры
225,пожалуют гул,пожалуют гулять
226,категорически отказа,категорически отказался
227,проспал целы,проспал целые
228,ней вздувалис,ней вздувались
229,напялить эт,напялить эту
230,полная дове,полная доверенность
231,стал та,стал так
232,стоит пер,стоит перед
233,стремились вс,стремились все
234,тяжело опустила,тяжело опустилась
235,тощих кор,тощих коров
236,бонжур ск,бонжур сквозь
237,нагонял неперено,нагонял непереносимую
238,годы войн,годы войны
239,сняли мокр,сняли мокрое
240,потом поверн,потом повернулся
241,потом яви,потом явится
242,был со,был совершенно
243,казалось соверше,казалось совершенно
244,вдруг он,вдруг она
245,под рук,под руку
246,лицами останавлив,лицами останавливают
247,амбара попада,амбара попадали
248,неожиданно нагн,неожиданно нагнал
249,стене мя,стене мякинника
250,вся эт,вся эта
251,янки решил,янки решили
252,производило впе,производило впечатление
253,чуть бы,чуть было
254,пшеничной муко,пшеничной мукой
255,все эт,все это
256,должны сег,должны сегодня
257,было пр,было пройти
258,еще мо,еще мог
259,она прерв,она прервала
260,как страст,как страстно
261,поколения смени,поколения сменились
262,начал реч,начал речь
263,только голов,только голова
264,после пое,после поездки
265,кажется дово,кажется довольно
266,которой бы,которой было
267,удивленно спр,удивленно спросил
268,совершенные лет,совершенные лета
269,узнавал вид,узнавал виденные
270,кузине позволял,кузине позволяло
271,была оч,была очень
272,этом происшеств,этом происшествии
273,тоже одеты,тоже одетый
274,что означае,что означает
275,вкушать долги,вкушать долгий
276,все двадцат,все двадцать
277,крик вор,крик ворона
278,выструганными нож,выструганными ножом
279,живот был,живот были
280,сердца слаб,сердца слабее
281,фабрика во,фабрика воротничков
282,немало бы,немало был
283,кукиши показ,кукиши показывают
284,складу своег,складу своего
285,начале реализа,начале реализации
286,минуту во,минуту возникает
287,близкое уч,близкое участие
288,первый ра,первый раз
289,сей земно,сей земной
290,затем прой,затем пройти
291,единой жив,единой живой
292,хотя эт,хотя это
293,где уж,где ужины
294,ему ми,ему мир
295,более шир,более широкие
296,командующий фронто,командующий фронтом
297,чтобы имет,чтобы иметь
298,была готов,была готова
299,эти невыноси,эти невыносимые
300,как был,как была
301,отправил подр,отправил подробную
302,вдруг услыш,вдруг услышал
303,совершенной ти,совершенной тишине
304,жаркий июньски,жаркий июньский
305,жестом бро,жестом бросаясь
306,фоксик верн,фоксик вернулся
307,как на,как нас
308,все бы,все были
309,прибывали новы,прибывали новые
310,полными ру,полными румяными
311,момент спо,момент способны
312,попадется жив,попадется живой
313,рыбьего зуб,рыбьего зуба
314,время бы,время была
315,что лиш,что лишен
316,времени посматр,времени посматривал
317,рост дл,рост для
318,время он,время они
319,деревянная башн,деревянная башня
320,сорокалетним ста,сорокалетним стажем
321,толкнуло ег,толкнуло его
322,вспыхивало яр,вспыхивало ярким
323,что подан,что подано
324,хорошо тренированн,хорошо тренированные
325,этом совх,этом совхозе
326,часть воинског,часть воинского
327,собою нов,собою новую
328,дождаться за,дождаться завтрашнего
329,развалины сте,развалины стен
330,пользуется своб,пользуется свободой
331,дне пово,дне повозки
332,хаос пья,хаос пьяного
333,столе око,столе около
334,сто сор,сто сорок
335,непосредственного отно,непосредственного отношения
336,что нем,что немедля
337,время гля,время глядел
338,заставил ва,заставил вас
339,что священн,что священник
340,было вз,было взять
341,двух час,двух часов
342,она веде,она ведет
343,знаменательного дл,знаменательного для
344,сих по,сих пор
345,все про,все прочно
346,комедианты пода,комедианты подали
347,ниже пер,ниже первого
348,своими глазам,своими глазами
349,учитывая неизбежно,учитывая неизбежность
350,часть лин,часть линии
351,она ста,она стала
352,смотрели та,смотрели так
353,было пол,было полно
354,ближе придвига,ближе придвигался
355,дама се,дама семенила
356,уехать бе,уехать без
357,состоянии расска,состоянии рассказать
358,себя словам,себя словами
359,пылко объяв,пылко объявляли
360,завидовавшие тво,завидовавшие твоему
361,концу сражен,концу сражения
362,глаза взо,глаза взором
363,газеты чу,газеты чуть
364,порядочным лю,порядочным людям
365,напомнил мн,напомнил мне
366,особенно рекомендоват,особенно рекомендовать
367,сам пре,сам предложил
368,супротив казак,супротив казаков
369,что пер,что перед
370,прежде эт,прежде этого
371,высказывая эт,высказывая этого
372,тонкой саф,тонкой сафьянной
373,принялась стучат,принялась стучать
374,чистое дел,чистое дело
375,него резк,него резко
376,чтобы посл,чтобы послушать
377,этот взг,этот взгляд
378,или перем,или переменить
379,вытянутых рука,вытянутых руках
380,свойственным ем,свойственным ему
381,наизусть французс,наизусть французские
382,объясняла развив,объясняла развивающимися
383,это бы,это было
384,какой быст,какой быстротой
385,вам дв,вам два
386,стук ру,стук ручки
387,яркий кос,яркий костюм
388,дробь пер,дробь перепелиного
389,позавчера спр,позавчера спрашиваю
390,другом скр,другом скрыли
391,истории цыга,истории цыганских
392,были уж,были уже
393,оставался уж,оставался уже
394,смех звуча,смех звучал
395,меня буд,меня будут
396,которыми кома,которыми командовать
397,денег проси,денег просишь
398,послышался не,послышался неясный
399,поэзия утрен,поэзия утренних
400,этот кл,этот клуб
401,что де,что действительно
402,мешало ег,мешало его
403,или сп,или спешил
404,скоро приеде,скоро приедет
405,встанет утро,встанет утром
406,чтобы рискн,чтобы рискнуть
407,легко переносит,легко переносить
408,была случай,была случайно
409,важности дл,важности для
410,стала ещ,стала еще
411,дочерью пр,дочерью происходило
412,своим домо,своим домом
413,быть приме,быть применено
414,отсутствию полут,отсутствию полуторки
415,садах резч,садах резче
416,волна нен,волна ненависти
417,день прихо,день приходил
418,столбняк на,столбняк нашел
419,хорошеньких ребятиш,хорошеньких ребятишек
420,что пи,что письмо
421,разу ещ,разу еще
422,такого невиданно,такого невиданного
423,испытал чу,испытал чудесное
424,заставляет неимущ,заставляет неимущих
425,было этог,было этого
426,было дава,было давать
427,ведь та,ведь такое
428,прибыли принес,прибыли принесли
429,что об,что обе
430,касается ден,касается денег
431,что он,что она
432,через гост,через гостиную
433,сложена хоз,сложена хозяйская
434,нет ничег,нет ничего
435,задерживаю ва,задерживаю вас
436,было опре,было определить
437,пути доч,пути дочки
438,составился ря,составился ряд
439,человек сил,человек сильный
440,наивно спроси,наивно спросил
441,его сло,его словах
442,хотела броси,хотела броситься
443,люди ход,люди ходовой
444,должно кончи,должно кончиться
445,нечего бы,нечего было
446,притом дово,притом довольно
447,это добро,это доброе
448,будут казни,будут казнить
449,была бо,была больше
450,симптомов не,симптомов недуга
451,этот че,этот человек
452,беспокоится нас,беспокоится насчет
453,сделали это,сделали этого
454,сам пере,сам перед
455,его ко,его конца
456,что никт,что никто
457,недоброжелатель соб,недоброжелатель собрал
458,тогда начнет,тогда начнется
459,которых дотронутьс,которых дотронуться
460,прибавились но,прибавились новые
461,ленты по,ленты под
462,старательно порученны,старательно порученными
463,представляется дв,представляется двум
464,черные кл,черные клубы
465,весь по,весь пол
466,мне пос,мне поскорей
467,словно не,словно небо
468,смеют атакова,смеют атаковать
469,одна то,одна только
470,делу пр,делу приставили
471,для ново,для новой
472,странное де,странное дело
473,размозжить ва,размозжить вам
474,подергивая пл,подергивая плечами
475,утрачивают сво,утрачивают свою
476,все эт,все это
477,светские лю,светские люди
478,разрешить трудну,разрешить трудную
479,света меж,света между
480,знала ег,знала его
481,однако взгл,однако взгляд
482,ему вс,ему все
483,вашей покойн,вашей покойной
484,мог отвеча,мог отвечать
485,любящий ро,любящий рожден
486,почти бе,почти бескровном
487,они буд,они будут
488,посоветовал стянут,посоветовал стянуть
489,отрезал че,отрезал четыре
490,его совес,его совести
491,выручить ме,выручить меня
492,при вид,при виде
493,меня власт,меня власти
494,перешагну раз,перешагну разделяющее
495,хотя муж,хотя мужская
496,что увязил,что увязили
497,всем сво,всем своим
498,след которо,след которого
499,всех порохо,всех пороховым
500,дом теп,дом теперь
501,где бы,где был
502,его паро,его парой
503,как ск,как скоро
504,продолжала он,продолжала она
505,которые он,которые она
506,рук ег,рук его
507,она испыт,она испытала
508,производят движ,производят движения
509,просторной рубл,просторной рубленой
510,это кл,это клетка
511,признаю ег,признаю его
512,материалом истори,материалом истории
513,какой по,какой полоток
514,для не,для нее
